endereco,latitude,longitude,resale_price,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease
"215 BT BATOK ST 21, BUKIT BATOK, Singapore",,,395000.0,2017-06,BUKIT BATOK,4 ROOM,215,BT BATOK ST 21,07 TO 09,91.0,New Generation,1984.0,66 years 05 months
"107 BT BATOK WEST AVE 6, BUKIT BATOK, Singapore",,,395000.0,2017-06,BUKIT BATOK,4 ROOM,107,BT BATOK WEST AVE 6,01 TO 03,104.0,Model A,1985.0,66 years 09 months
"171 BT BATOK WEST AVE 8, BUKIT BATOK, Singapore",,,400000.0,2017-06,BUKIT BATOK,4 ROOM,171,BT BATOK WEST AVE 8,07 TO 09,103.0,Model A,1985.0,66 years 10 months
"177 BT BATOK WEST AVE 8, BUKIT BATOK, Singapore",,,430000.0,2017-06,BUKIT BATOK,4 ROOM,177,BT BATOK WEST AVE 8,07 TO 09,103.0,Model A,1985.0,66 years 07 months
"289G BT BATOK ST 25, BUKIT BATOK, Singapore",,,431000.0,2017-06,BUKIT BATOK,4 ROOM,289G,BT BATOK ST 25,07 TO 09,101.0,Model A,1998.0,80 years 01 month
"131 BT BATOK WEST AVE 6, BUKIT BATOK, Singapore",1.3576689641828483,103.7381497625828,443000.0,2017-06,BUKIT BATOK,4 ROOM,131,BT BATOK WEST AVE 6,10 TO 12,103.0,Model A,1984.0,66 years 06 months
"102 BT BATOK WEST AVE 6, BUKIT BATOK, Singapore",,,460000.0,2017-06,BUKIT BATOK,4 ROOM,102,BT BATOK WEST AVE 6,07 TO 09,120.0,Model A,1985.0,67 years 01 month
"625 BT BATOK CTRL, BUKIT BATOK, Singapore",,,520000.0,2017-06,BUKIT BATOK,4 ROOM,625,BT BATOK CTRL,07 TO 09,102.0,Model A,1997.0,79 years
"236 BT BATOK EAST AVE 5, BUKIT BATOK, Singapore",,,445000.0,2017-06,BUKIT BATOK,5 ROOM,236,BT BATOK EAST AVE 5,01 TO 03,126.0,Improved,1985.0,67 years 01 month
"192 BT BATOK WEST AVE 6, BUKIT BATOK, Singapore",,,560000.0,2017-06,BUKIT BATOK,5 ROOM,192,BT BATOK WEST AVE 6,13 TO 15,118.0,Improved,1997.0,78 years 10 months
"289D BT BATOK ST 25, BUKIT BATOK, Singapore",,,585000.0,2017-06,BUKIT BATOK,5 ROOM,289D,BT BATOK ST 25,16 TO 18,121.0,Improved,1997.0,79 years 06 months
"620 BT BATOK CTRL, BUKIT BATOK, Singapore",,,652888.0,2017-06,BUKIT BATOK,5 ROOM,620,BT BATOK CTRL,25 TO 27,110.0,Improved,2003.0,85 years 05 months
"512 BT BATOK ST 52, BUKIT BATOK, Singapore",,,550000.0,2017-06,BUKIT BATOK,EXECUTIVE,512,BT BATOK ST 52,04 TO 06,146.0,Maisonette,1987.0,68 years 10 months
"535 BT BATOK ST 52, BUKIT BATOK, Singapore",,,608000.0,2017-06,BUKIT BATOK,EXECUTIVE,535,BT BATOK ST 52,04 TO 06,150.0,Apartment,1987.0,68 years 07 months
"76 TELOK BLANGAH DR, BUKIT MERAH, Singapore",1.27440375,103.80875338919684,244800.0,2017-06,BUKIT MERAH,2 ROOM,76,TELOK BLANGAH DR,10 TO 12,44.0,Improved,1978.0,59 years 07 months
"48 LOWER DELTA RD, BUKIT MERAH, Singapore",1.274128124537441,103.8229131165244,265000.0,2017-06,BUKIT MERAH,2 ROOM,48,LOWER DELTA RD,10 TO 12,43.0,Standard,1970.0,51 years 09 months
"113 JLN BT MERAH, BUKIT MERAH, Singapore",,,308000.0,2017-06,BUKIT MERAH,3 ROOM,113,JLN BT MERAH,10 TO 12,60.0,Standard,1969.0,50 years 07 months
"150 SILAT AVE, BUKIT MERAH, Singapore",1.2769811,103.83137768802716,340000.0,2017-06,BUKIT MERAH,3 ROOM,150,SILAT AVE,01 TO 03,67.0,New Generation,1982.0,64 years 02 months
"75 TELOK BLANGAH DR, BUKIT MERAH, Singapore",1.2748762,103.80868667363656,350000.0,2017-06,BUKIT MERAH,3 ROOM,75,TELOK BLANGAH DR,10 TO 12,67.0,New Generation,1978.0,59 years 07 months
"80B TELOK BLANGAH ST 31, BUKIT MERAH, Singapore",1.27342865,103.80700180846044,570000.0,2017-06,BUKIT MERAH,3 ROOM,80B,TELOK BLANGAH ST 31,07 TO 09,67.0,Premium Apartment,2013.0,95 years 02 months
"49 HOY FATT RD, BUKIT MERAH, Singapore",1.2862731386214286,103.81029844028276,490000.0,2017-06,BUKIT MERAH,4 ROOM,49,HOY FATT RD,04 TO 06,84.0,Simplified,1986.0,68 years 01 month
"105 BT PURMEI RD, BUKIT MERAH, Singapore",,,525000.0,2017-06,BUKIT MERAH,4 ROOM,105,BT PURMEI RD,07 TO 09,93.0,New Generation,1983.0,64 years 08 months
"109 JLN BT MERAH, BUKIT MERAH, Singapore",,,542888.0,2017-06,BUKIT MERAH,4 ROOM,109,JLN BT MERAH,07 TO 09,104.0,Model A,1984.0,66 years 01 month
"68 TELOK BLANGAH HTS, BUKIT MERAH, Singapore",1.2748985275187488,103.81467184581636,570000.0,2017-06,BUKIT MERAH,4 ROOM,68,TELOK BLANGAH HTS,13 TO 15,91.0,New Generation,1978.0,59 years 08 months
"110 BT PURMEI RD, BUKIT MERAH, Singapore",,,582000.0,2017-06,BUKIT MERAH,4 ROOM,110,BT PURMEI RD,10 TO 12,104.0,Model A,1984.0,66 years 03 months
"26B JLN MEMBINA, BUKIT MERAH, Singapore",1.28306385,103.82560967167316,755000.0,2017-06,BUKIT MERAH,4 ROOM,26B,JLN MEMBINA,28 TO 30,85.0,Model A,2009.0,90 years 07 months
"39 TELOK BLANGAH RISE, BUKIT MERAH, Singapore",1.2717686499999998,103.82259192435632,508000.0,2017-06,BUKIT MERAH,5 ROOM,39,TELOK BLANGAH RISE,04 TO 06,114.0,Standard,1976.0,58 years 03 months
"18 TELOK BLANGAH CRES, BUKIT MERAH, Singapore",1.2778847999999998,103.82255315,610000.0,2017-06,BUKIT MERAH,5 ROOM,18,TELOK BLANGAH CRES,13 TO 15,130.0,Adjoined flat,1975.0,56 years 10 months
"48 TELOK BLANGAH DR, BUKIT MERAH, Singapore",1.2723789,103.81066410657309,700000.0,2017-06,BUKIT MERAH,5 ROOM,48,TELOK BLANGAH DR,16 TO 18,125.0,Standard,1976.0,58 years 05 months
"47 LENGKOK BAHRU, BUKIT MERAH, Singapore",1.2871081,103.81186359093375,710000.0,2017-06,BUKIT MERAH,5 ROOM,47,LENGKOK BAHRU,07 TO 09,134.0,Model A,1984.0,66 years 01 month
"8 CANTONMENT CL, BUKIT MERAH, Singapore",1.2758331,103.83901794252134,800000.0,2017-06,BUKIT MERAH,5 ROOM,8,CANTONMENT CL,04 TO 06,110.0,Improved,2002.0,84 years 06 months
"119C KIM TIAN RD, BUKIT MERAH, Singapore",1.2815191499999998,103.82770650420709,860000.0,2017-06,BUKIT MERAH,5 ROOM,119C,KIM TIAN RD,25 TO 27,110.0,Improved,2003.0,85 years
"108 GANGSA RD, BUKIT PANJANG, Singapore",1.3791128,103.7669948,270000.0,2017-06,BUKIT PANJANG,3 ROOM,108,GANGSA RD,07 TO 09,73.0,Model A,1986.0,68 years 05 months
"220 PETIR RD, BUKIT PANJANG, Singapore",1.37453585,103.77282081847052,283000.0,2017-06,BUKIT PANJANG,3 ROOM,220,PETIR RD,07 TO 09,73.0,Model A,1989.0,70 years 08 months
"106 GANGSA RD, BUKIT PANJANG, Singapore",1.3791128,103.7669948,297000.0,2017-06,BUKIT PANJANG,3 ROOM,106,GANGSA RD,04 TO 06,73.0,Model A,1988.0,69 years 08 months
"435 BT PANJANG RING RD, BUKIT PANJANG, Singapore",,,299000.0,2017-06,BUKIT PANJANG,4 ROOM,435,BT PANJANG RING RD,10 TO 12,84.0,Simplified,1988.0,70 years 06 months
"449 BT PANJANG RING RD, BUKIT PANJANG, Singapore",,,325000.0,2017-06,BUKIT PANJANG,4 ROOM,449,BT PANJANG RING RD,01 TO 03,101.0,Model A,1997.0,79 years
"416 SAUJANA RD, BUKIT PANJANG, Singapore",1.38320735,103.76846439923564,340000.0,2017-06,BUKIT PANJANG,4 ROOM,416,SAUJANA RD,01 TO 03,104.0,Model A,1988.0,70 years 05 months
"505 JELAPANG RD, BUKIT PANJANG, Singapore",1.3867816,103.76750315,350888.0,2017-06,BUKIT PANJANG,4 ROOM,505,JELAPANG RD,10 TO 12,100.0,Model A,1998.0,79 years 07 months
"270 BANGKIT RD, BUKIT PANJANG, Singapore",1.37648825,103.77414541402788,358000.0,2017-06,BUKIT PANJANG,4 ROOM,270,BANGKIT RD,10 TO 12,104.0,Model A,1988.0,70 years 04 months
"434 BT PANJANG RING RD, BUKIT PANJANG, Singapore",,,360000.0,2017-06,BUKIT PANJANG,4 ROOM,434,BT PANJANG RING RD,04 TO 06,104.0,Model A,1989.0,71 years 02 months
"510 JELAPANG RD, BUKIT PANJANG, Singapore",1.3867816,103.76750315,363000.0,2017-06,BUKIT PANJANG,4 ROOM,510,JELAPANG RD,13 TO 15,100.0,Model A2,1998.0,80 years
"616 SENJA RD, BUKIT PANJANG, Singapore",1.38496075,103.76120534896184,365000.0,2017-06,BUKIT PANJANG,4 ROOM,616,SENJA RD,04 TO 06,85.0,Model A2,2002.0,83 years 10 months
"541 BT PANJANG RING RD, BUKIT PANJANG, Singapore",,,415000.0,2017-06,BUKIT PANJANG,4 ROOM,541,BT PANJANG RING RD,04 TO 06,100.0,Model A,1999.0,81 years
"448 BT PANJANG RING RD, BUKIT PANJANG, Singapore",,,423000.0,2017-06,BUKIT PANJANG,5 ROOM,448,BT PANJANG RING RD,10 TO 12,120.0,Improved,1997.0,79 years 01 month
"471 SEGAR RD, BUKIT PANJANG, Singapore",1.3893058038516974,103.76939857380846,460000.0,2017-06,BUKIT PANJANG,EXECUTIVE,471,SEGAR RD,04 TO 06,130.0,Premium Apartment,2002.0,83 years 10 months
"411 SAUJANA RD, BUKIT PANJANG, Singapore",1.38301745,103.76750948303436,560000.0,2017-06,BUKIT PANJANG,EXECUTIVE,411,SAUJANA RD,01 TO 03,146.0,Maisonette,1988.0,70 years 06 months
"135 CASHEW RD, BUKIT PANJANG, Singapore",1.3715519,103.76732105,630000.0,2017-06,BUKIT PANJANG,EXECUTIVE,135,CASHEW RD,07 TO 09,146.0,Maisonette,1988.0,70 years
"180 LOMPANG RD, BUKIT PANJANG, Singapore",1.3789451,103.76490307465542,770000.0,2017-06,BUKIT PANJANG,EXECUTIVE,180,LOMPANG RD,16 TO 18,130.0,Apartment,2002.0,83 years 07 months
"2 QUEEN'S RD, BUKIT TIMAH, Singapore",1.3178377,103.80726455,460000.0,2017-06,BUKIT TIMAH,3 ROOM,2,QUEEN'S RD,04 TO 06,74.0,Improved,1974.0,55 years 10 months
"1 TOH YI DR, BUKIT TIMAH, Singapore",,,680000.0,2017-06,BUKIT TIMAH,4 ROOM,1,TOH YI DR,04 TO 06,104.0,Model A,1988.0,70 years 01 month
"14 TOH YI DR, BUKIT TIMAH, Singapore",,,813000.0,2017-06,BUKIT TIMAH,5 ROOM,14,TOH YI DR,10 TO 12,122.0,Improved,1988.0,70 years 03 months
"269A QUEEN ST, CENTRAL AREA, Singapore",,,440000.0,2017-06,CENTRAL AREA,3 ROOM,269A,QUEEN ST,07 TO 09,67.0,New Generation,1984.0,65 years 11 months
"641 ROWELL RD, CENTRAL AREA, Singapore",,,635000.0,2017-06,CENTRAL AREA,4 ROOM,641,ROWELL RD,19 TO 21,109.0,Model A,1983.0,65 years 04 months
"634 VEERASAMY RD, CENTRAL AREA, Singapore",,,710000.0,2017-06,CENTRAL AREA,5 ROOM,634,VEERASAMY RD,22 TO 24,138.0,Model A,1985.0,67 years 04 months
"113 TECK WHYE LANE, CHOA CHU KANG, Singapore",1.37802295,103.7506889837553,311500.0,2017-06,CHOA CHU KANG,4 ROOM,113,TECK WHYE LANE,01 TO 03,103.0,Model A,1989.0,70 years 07 months
"291 CHOA CHU KANG AVE 3, CHOA CHU KANG, Singapore",1.3786407,103.73974947152988,325000.0,2017-06,CHOA CHU KANG,4 ROOM,291,CHOA CHU KANG AVE 3,04 TO 06,104.0,Model A,1993.0,75 years
"223 CHOA CHU KANG CTRL, CHOA CHU KANG, Singapore",1.3816016000000002,103.74467522782427,330000.0,2017-06,CHOA CHU KANG,4 ROOM,223,CHOA CHU KANG CTRL,01 TO 03,104.0,Model A,1993.0,75 years
"514 CHOA CHU KANG ST 51, CHOA CHU KANG, Singapore",1.3924297,103.7425832,330000.0,2017-06,CHOA CHU KANG,4 ROOM,514,CHOA CHU KANG ST 51,01 TO 03,106.0,Model A,1995.0,77 years 04 months
"685C CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,333800.0,2017-06,CHOA CHU KANG,4 ROOM,685C,CHOA CHU KANG CRES,07 TO 09,85.0,Model A2,2002.0,84 years 04 months
"405 CHOA CHU KANG AVE 3, CHOA CHU KANG, Singapore",1.38005115,103.73964115431036,335000.0,2017-06,CHOA CHU KANG,4 ROOM,405,CHOA CHU KANG AVE 3,04 TO 06,104.0,Model A,1993.0,75 years
"455 CHOA CHU KANG AVE 4, CHOA CHU KANG, Singapore",1.37943405,103.73520864139344,338000.0,2017-06,CHOA CHU KANG,4 ROOM,455,CHOA CHU KANG AVE 4,04 TO 06,103.0,Premium Apartment,2000.0,81 years 10 months
"281 CHOA CHU KANG AVE 3, CHOA CHU KANG, Singapore",1.38045575,103.7424959249902,340000.0,2017-06,CHOA CHU KANG,4 ROOM,281,CHOA CHU KANG AVE 3,13 TO 15,106.0,Model A,1992.0,73 years 11 months
"485A CHOA CHU KANG AVE 5, CHOA CHU KANG, Singapore",1.37449175,103.73854449493312,340000.0,2017-06,CHOA CHU KANG,4 ROOM,485A,CHOA CHU KANG AVE 5,10 TO 12,101.0,Model A,1999.0,80 years 11 months
"277 CHOA CHU KANG AVE 2, CHOA CHU KANG, Singapore",1.379978,103.74476161014005,348000.0,2017-06,CHOA CHU KANG,4 ROOM,277,CHOA CHU KANG AVE 2,04 TO 06,104.0,Model A,1993.0,74 years 11 months
"236 CHOA CHU KANG CTRL, CHOA CHU KANG, Singapore",1.37979675,103.74819670575044,350000.0,2017-06,CHOA CHU KANG,4 ROOM,236,CHOA CHU KANG CTRL,04 TO 06,104.0,Model A,1989.0,70 years 10 months
"122 TECK WHYE LANE, CHOA CHU KANG, Singapore",1.3786394,103.74948555365378,353000.0,2017-06,CHOA CHU KANG,4 ROOM,122,TECK WHYE LANE,07 TO 09,103.0,Model A,1989.0,70 years 09 months
"678 CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,360000.0,2017-06,CHOA CHU KANG,4 ROOM,678,CHOA CHU KANG CRES,04 TO 06,106.0,Premium Apartment,1999.0,81 years 06 months
"682 CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,360000.0,2017-06,CHOA CHU KANG,4 ROOM,682,CHOA CHU KANG CRES,01 TO 03,106.0,Premium Apartment,1999.0,81 years 05 months
"661 CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,385000.0,2017-06,CHOA CHU KANG,4 ROOM,661,CHOA CHU KANG CRES,16 TO 18,104.0,Premium Apartment,1999.0,80 years 10 months
"787 CHOA CHU KANG NTH 6, CHOA CHU KANG, Singapore",,,395000.0,2017-06,CHOA CHU KANG,4 ROOM,787,CHOA CHU KANG NTH 6,04 TO 06,110.0,Model A,1997.0,78 years 07 months
"210 CHOA CHU KANG CTRL, CHOA CHU KANG, Singapore",1.3826317,103.74772514465847,405000.0,2017-06,CHOA CHU KANG,4 ROOM,210,CHOA CHU KANG CTRL,10 TO 12,103.0,Model A,1990.0,71 years 09 months
"640 CHOA CHU KANG ST 64, CHOA CHU KANG, Singapore",1.3971458065390294,103.7501004214851,440000.0,2017-06,CHOA CHU KANG,4 ROOM,640,CHOA CHU KANG ST 64,10 TO 12,100.0,Premium Apartment,1998.0,79 years 07 months
"340 CHOA CHU KANG LOOP, CHOA CHU KANG, Singapore",1.3840842000000002,103.74551621797288,450000.0,2017-06,CHOA CHU KANG,4 ROOM,340,CHOA CHU KANG LOOP,13 TO 15,106.0,Model A,1993.0,75 years
"683C CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,345000.0,2017-06,CHOA CHU KANG,5 ROOM,683C,CHOA CHU KANG CRES,01 TO 03,110.0,Improved,2002.0,84 years 02 months
"690B CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,351888.0,2017-06,CHOA CHU KANG,5 ROOM,690B,CHOA CHU KANG CRES,01 TO 03,110.0,Improved,2003.0,84 years 10 months
"687A CHOA CHU KANG DR, CHOA CHU KANG, Singapore",1.3862668,103.7461053,360000.0,2017-06,CHOA CHU KANG,5 ROOM,687A,CHOA CHU KANG DR,04 TO 06,110.0,Improved,2002.0,84 years
"685B CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4036303,103.74815658607046,370000.0,2017-06,CHOA CHU KANG,5 ROOM,685B,CHOA CHU KANG CRES,04 TO 06,110.0,Improved,2002.0,84 years 03 months
"112 TECK WHYE LANE, CHOA CHU KANG, Singapore",1.3775653499999998,103.75169549185328,375000.0,2017-06,CHOA CHU KANG,5 ROOM,112,TECK WHYE LANE,07 TO 09,121.0,Improved,1989.0,70 years 10 months
"684A CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,380000.0,2017-06,CHOA CHU KANG,5 ROOM,684A,CHOA CHU KANG CRES,10 TO 12,110.0,Improved,2002.0,84 years 03 months
"703 CHOA CHU KANG ST 53, CHOA CHU KANG, Singapore",1.39132005,103.74593072355292,385000.0,2017-06,CHOA CHU KANG,5 ROOM,703,CHOA CHU KANG ST 53,01 TO 03,122.0,Improved,1995.0,76 years 11 months
"670A CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4026756,103.7476255682735,405000.0,2017-06,CHOA CHU KANG,5 ROOM,670A,CHOA CHU KANG CRES,04 TO 06,124.0,Premium Apartment,1999.0,81 years 06 months
"249 CHOA CHU KANG AVE 2, CHOA CHU KANG, Singapore",1.3796053499999998,103.7452426289266,438000.0,2017-06,CHOA CHU KANG,5 ROOM,249,CHOA CHU KANG AVE 2,07 TO 09,124.0,Improved,1993.0,75 years
"666 CHOA CHU KANG CRES, CHOA CHU KANG, Singapore",1.4030485030083517,103.74914221468453,440000.0,2017-06,CHOA CHU KANG,5 ROOM,666,CHOA CHU KANG CRES,16 TO 18,124.0,Improved,1999.0,81 years
"454 CHOA CHU KANG AVE 4, CHOA CHU KANG, Singapore",1.37910945,103.73479269152816,460000.0,2017-06,CHOA CHU KANG,5 ROOM,454,CHOA CHU KANG AVE 4,04 TO 06,123.0,Premium Apartment,2000.0,81 years 10 months
"272 CHOA CHU KANG AVE 2, CHOA CHU KANG, Singapore",1.3788369,103.74308432879768,485000.0,2017-06,CHOA CHU KANG,EXECUTIVE,272,CHOA CHU KANG AVE 2,04 TO 06,147.0,Apartment,1993.0,75 years 02 months
"758 CHOA CHU KANG NTH 5, CHOA CHU KANG, Singapore",,,511888.0,2017-06,CHOA CHU KANG,EXECUTIVE,758,CHOA CHU KANG NTH 5,07 TO 09,146.0,Apartment,1995.0,77 years 02 months
"282 CHOA CHU KANG AVE 3, CHOA CHU KANG, Singapore",1.3802404,103.74327166658574,525000.0,2017-06,CHOA CHU KANG,EXECUTIVE,282,CHOA CHU KANG AVE 3,04 TO 06,152.0,Maisonette,1992.0,73 years 11 months
"759 CHOA CHU KANG NTH 5, CHOA CHU KANG, Singapore",,,540000.0,2017-06,CHOA CHU KANG,EXECUTIVE,759,CHOA CHU KANG NTH 5,04 TO 06,152.0,Maisonette,1995.0,77 years 03 months
"558 CHOA CHU KANG NTH 6, CHOA CHU KANG, Singapore",,,558000.0,2017-06,CHOA CHU KANG,EXECUTIVE,558,CHOA CHU KANG NTH 6,07 TO 09,146.0,Apartment,1996.0,77 years 08 months
"523 CHOA CHU KANG ST 51, CHOA CHU KANG, Singapore",1.3924297,103.7425832,570000.0,2017-06,CHOA CHU KANG,EXECUTIVE,523,CHOA CHU KANG ST 51,13 TO 15,145.0,Apartment,1995.0,76 years 08 months
"431 CLEMENTI AVE 3, CLEMENTI, Singapore",1.31356445,103.76316657939388,330000.0,2017-06,CLEMENTI,3 ROOM,431,CLEMENTI AVE 3,01 TO 03,67.0,New Generation,1979.0,61 years 04 months
"329 CLEMENTI AVE 2, CLEMENTI, Singapore",1.31304745,103.76736975472252,335000.0,2017-06,CLEMENTI,3 ROOM,329,CLEMENTI AVE 2,01 TO 03,67.0,New Generation,1978.0,60 years 01 month
"450 CLEMENTI AVE 3, CLEMENTI, Singapore",1.31352115,103.76543364043708,363000.0,2017-06,CLEMENTI,3 ROOM,450,CLEMENTI AVE 3,04 TO 06,68.0,New Generation,1980.0,62 years
"432 CLEMENTI AVE 3, CLEMENTI, Singapore",1.31399105,103.76278029216716,365000.0,2017-06,CLEMENTI,3 ROOM,432,CLEMENTI AVE 3,10 TO 12,67.0,New Generation,1978.0,60 years 06 months
"423 CLEMENTI AVE 1, CLEMENTI, Singapore",1.30939215,103.76982565764946,538000.0,2017-06,CLEMENTI,3 ROOM,423,CLEMENTI AVE 1,25 TO 27,70.0,Model A,2013.0,95 years 03 months
"512 WEST COAST DR, CLEMENTI, Singapore",1.30994135,103.76029286287002,355000.0,2017-06,CLEMENTI,4 ROOM,512,WEST COAST DR,01 TO 03,91.0,New Generation,1978.0,59 years 07 months
"358 CLEMENTI AVE 2, CLEMENTI, Singapore",1.3135568,103.76914406286508,450000.0,2017-06,CLEMENTI,4 ROOM,358,CLEMENTI AVE 2,04 TO 06,92.0,New Generation,1978.0,59 years 07 months
"454 CLEMENTI AVE 3, CLEMENTI, Singapore",1.3122497000000002,103.76645934115028,695000.0,2017-06,CLEMENTI,4 ROOM,454,CLEMENTI AVE 3,13 TO 15,90.0,Model A,2002.0,84 years 07 months
"71 CIRCUIT RD, GEYLANG, Singapore",1.3249091000000002,103.8880265528339,215000.0,2017-06,GEYLANG,2 ROOM,71,CIRCUIT RD,07 TO 09,42.0,Standard,1969.0,50 years 07 months
"97 JLN DUA, GEYLANG, Singapore",1.30894975,103.88839554071107,230000.0,2017-06,GEYLANG,3 ROOM,97,JLN DUA,04 TO 06,56.0,Standard,1969.0,50 years 08 months
"39 CIRCUIT RD, GEYLANG, Singapore",1.3274308,103.88569323920264,250000.0,2017-06,GEYLANG,3 ROOM,39,CIRCUIT RD,01 TO 03,57.0,Standard,1971.0,52 years 07 months
"20 BALAM RD, GEYLANG, Singapore",1.33084395,103.88753277611656,255000.0,2017-06,GEYLANG,3 ROOM,20,BALAM RD,01 TO 03,60.3,Standard,1967.0,48 years 07 months
"34 CIRCUIT RD, GEYLANG, Singapore",1.3290259999999998,103.88747699256233,260000.0,2017-06,GEYLANG,3 ROOM,34,CIRCUIT RD,07 TO 09,60.0,Standard,1967.0,48 years 07 months
"3 HAIG RD, GEYLANG, Singapore",1.31170435,103.8973863332028,290000.0,2017-06,GEYLANG,3 ROOM,3,HAIG RD,04 TO 06,65.0,Improved,1976.0,58 years 02 months
"342 UBI AVE 1, GEYLANG, Singapore",1.32640805,103.90118833235192,295000.0,2017-06,GEYLANG,3 ROOM,342,UBI AVE 1,01 TO 03,64.0,Simplified,1985.0,67 years 04 months
"95 ALJUNIED CRES, GEYLANG, Singapore",1.32129935,103.88646084687336,308000.0,2017-06,GEYLANG,3 ROOM,95,ALJUNIED CRES,07 TO 09,65.0,Improved,1975.0,57 years 03 months
"1 HAIG RD, GEYLANG, Singapore",1.31127845,103.89770005155285,310000.0,2017-06,GEYLANG,3 ROOM,1,HAIG RD,10 TO 12,59.0,Improved,1982.0,64 years 05 months
"52 SIMS PL, GEYLANG, Singapore",1.3166468,103.88041879884284,315000.0,2017-06,GEYLANG,3 ROOM,52,SIMS PL,10 TO 12,65.0,Improved,1977.0,58 years 08 months
"22 HAIG RD, GEYLANG, Singapore",1.31365425,103.89506806130277,386000.0,2017-06,GEYLANG,3 ROOM,22,HAIG RD,01 TO 03,68.0,New Generation,1981.0,63 years 05 months
"343 UBI AVE 1, GEYLANG, Singapore",1.3264956,103.90047830801,370000.0,2017-06,GEYLANG,4 ROOM,343,UBI AVE 1,01 TO 03,84.0,Simplified,1986.0,67 years 11 months
"122 PAYA LEBAR WAY, GEYLANG, Singapore",1.32253985,103.8824314281918,418000.0,2017-06,GEYLANG,4 ROOM,122,PAYA LEBAR WAY,10 TO 12,91.0,New Generation,1980.0,62 years 02 months
"338 UBI AVE 1, GEYLANG, Singapore",1.32616425,103.90216178147097,440000.0,2017-06,GEYLANG,4 ROOM,338,UBI AVE 1,10 TO 12,105.0,Model A,1986.0,67 years 09 months
"10 EUNOS CRES, GEYLANG, Singapore",1.32231075,103.90278503723324,502000.0,2017-06,GEYLANG,4 ROOM,10,EUNOS CRES,01 TO 03,91.0,New Generation,1978.0,60 years 01 month
"11 HAIG RD, GEYLANG, Singapore",1.3148739,103.89665209795498,525000.0,2017-06,GEYLANG,4 ROOM,11,HAIG RD,04 TO 06,92.0,New Generation,1976.0,58 years 01 month
"2C GEYLANG SERAI, GEYLANG, Singapore",1.3174606,103.8980768840824,680000.0,2017-06,GEYLANG,4 ROOM,2C,GEYLANG SERAI,16 TO 18,93.0,Model A,2011.0,93 years 06 months
"311 UBI AVE 1, GEYLANG, Singapore",1.3297637999999998,103.9031503342144,513000.0,2017-06,GEYLANG,5 ROOM,311,UBI AVE 1,04 TO 06,122.0,Improved,1985.0,67 years 05 months
"13 EUNOS CRES, GEYLANG, Singapore",1.3226993500000002,103.90352465,625000.0,2017-06,GEYLANG,5 ROOM,13,EUNOS CRES,10 TO 12,117.0,Standard,1977.0,58 years 11 months
"36 EUNOS CRES, GEYLANG, Singapore",1.32109245,103.90189822344256,800000.0,2017-06,GEYLANG,5 ROOM,36,EUNOS CRES,16 TO 18,110.0,Improved,2006.0,88 years 06 months
"7 PINE CL, GEYLANG, Singapore",1.3074551,103.88270849147648,828888.0,2017-06,GEYLANG,5 ROOM,7,PINE CL,04 TO 06,111.0,Improved,2000.0,82 years
"1 PINE CL, GEYLANG, Singapore",1.308041,103.8831669419441,855000.0,2017-06,GEYLANG,5 ROOM,1,PINE CL,10 TO 12,110.0,Improved,2000.0,82 years
"119 HOUGANG AVE 1, HOUGANG, Singapore",1.3520683,103.8891325,290000.0,2017-06,HOUGANG,3 ROOM,119,HOUGANG AVE 1,07 TO 09,67.0,New Generation,1981.0,63 years 03 months
"514 HOUGANG AVE 10, HOUGANG, Singapore",1.3721128,103.88918547476791,290000.0,2017-06,HOUGANG,3 ROOM,514,HOUGANG AVE 10,04 TO 06,64.0,Simplified,1986.0,67 years 08 months
"671 HOUGANG AVE 8, HOUGANG, Singapore",1.3748022340125958,103.89788681915137,308000.0,2017-06,HOUGANG,3 ROOM,671,HOUGANG AVE 8,10 TO 12,74.0,Model A,1987.0,69 years 05 months
"305 HOUGANG AVE 5, HOUGANG, Singapore",1.3676425,103.8960341,348000.0,2017-06,HOUGANG,3 ROOM,305,HOUGANG AVE 5,01 TO 03,74.0,Model A,1983.0,64 years 08 months
"210 HOUGANG ST 21, HOUGANG, Singapore",1.3594699,103.8869553,362000.0,2017-06,HOUGANG,3 ROOM,210,HOUGANG ST 21,01 TO 03,74.0,Model A,1984.0,65 years 07 months
"911 HOUGANG ST 91, HOUGANG, Singapore",1.37889325,103.88353519820076,330000.0,2017-06,HOUGANG,4 ROOM,911,HOUGANG ST 91,01 TO 03,93.0,Model A2,1998.0,79 years 08 months
